"CensusTract","State","County","Urban","Pop2010","OHU2010","LowIncomeTracts","PovertyRate","MedianFamilyIncome","foodDesert"
"17031381800","Illinois","Cook County","1",1188,591,"1",23.4,60938,1
"42003483800","Pennsylvania","Allegheny County","1",3165,1485,"1",35.2,26336,1
"13117130612","Georgia","Forsyth County","1",5614,1740,"0",1.8,151944,1
"45091060905","South Carolina","York County","1",8916,3663,"0",17.3,60625,1
"6037501504","California","Los Angeles County","1",3592,1588,"1",24.3,45208,1
"48141010336","Texas","El Paso County","1",6638,1986,"0",13.7,56510,1
"31131966600","Nebraska","Otoe County","0",2128,822,"0",10.7,85703,1
"42129800100","Pennsylvania","Westmoreland County","1",1193,606,"1",41.9,25441,1
"13009970701","Georgia","Baldwin County","1",2632,815,"1",33,39958,1
"12103020208","Florida","Pinellas County","1",2300,1066,"1",20.4,56797,1
"6037406602","California","Los Angeles County","1",4973,1289,"0",7,84792,1
"24045010200","Maryland","Wicomico County","1",6142,2331,"1",21.7,51442,1
"25025050901","Massachusetts","Suffolk County","1",4165,1324,"1",17.7,54643,1
"26115833200","Michigan","Monroe County","0",4069,1437,"0",4,102986,1
"26021011000","Michigan","Berrien County","0",2801,1122,"0",7.3,68424,1
"35013000800","New Mexico","Do̱a Ana County","1",3400,1465,"1",29.5,37425,1
"26119910400","Michigan","Montmorency County","0",2372,1062,"1",19.6,49344,1
"6095252202","California","Solano County","1",9825,3034,"0",5.2,127500,1
"48201552102","Texas","Harris County","1",5928,2078,"0",1.1,80448,1
"25005650700","Massachusetts","Bristol County","1",2583,887,"1",37.3,34063,1
"20173005502","Kansas","Sedgwick County","1",5424,1943,"0",5.6,60020,1
"26099261500","Michigan","Macomb County","1",3094,1543,"1",7.9,59118,1
"12119911200","Florida","Sumter County","1",29677,16043,"0",3.7,75878,1
"40027200500","Oklahoma","Cleveland County","1",3797,1866,"1",32.4,71544,1
"1047956400","Alabama","Dallas County","1",3150,1175,"1",53.4,25191,1
"39035196200","Ohio","Cuyahoga County","1",3278,1405,"1",43.4,25549,1
"48439114206","Texas","Tarrant County","1",4468,1643,"0",11.8,112500,1
"6067009105","California","Sacramento County","1",2709,1054,"1",23.6,46283,1
